Hz,vin,vout
1,1,0.0156431831419468
1.00461578369141,1,0.0157153718173504
1.00925290584564,1,0.0157878901809454
1.01391136646271,1,0.0158607475459576
1.01859140396118,1,0.0159339383244514
1.02329301834106,1,0.0160074662417173
1.02801632881165,1,0.0160813350230455
1.03276145458221,1,0.0161555446684361
1.03752839565277,1,0.0162300951778889
1.04231739044189,1,0.0163049902766943
1.04712855815887,1,0.0163802299648523
1.05196189880371,1,0.0164558161050081
1.05681753158569,1,0.016531752422452
1.06169557571411,1,0.0166080389171839
1.06659615039825,1,0.016684677451849
1.07151925563812,1,0.0167616680264473
1.07646524906158,1,0.0168390143662691
1.08143389225006,1,0.0169167183339596
1.08642566204071,1,0.0169947799295187
1.09144032001495,1,0.0170732010155916
1.09647822380066,1,0.0171519853174686
1.10153925418854,1,0.0172311309725046
1.10662376880646,1,0.017310643568635
1.11173176765442,1,0.0173905193805695
1.11686325073242,1,0.0174707677215338
1.12201845645905,1,0.0175513848662376
1.12719750404358,1,0.0176323726773262
1.13240039348602,1,0.0177137330174446
1.13762724399567,1,0.0177954714745283
1.14287829399109,1,0.017877584323287
1.14815366268158,1,0.0179600790143013
1.15345323085785,1,0.0180429499596357
1.15877735614777,1,0.0181262046098709
1.16412603855133,1,0.018209844827652
1.16949939727783,1,0.0182938687503338
1.17489755153656,1,0.0183782819658518
1.1803206205368,1,0.0184630826115608
1.18576872348785,1,0.0185482762753963
1.191241979599,1,0.0186338610947132
1.19674050807953,1,0.0187198426574469
1.20226442813873,1,0.018806217238307
1.2078138589859,1,0.0188929922878742
1.21338880062103,1,0.0189801659435034
1.218989610672,1,0.0190677437931299
1.2246161699295,1,0.0191557239741087
1.23026871681213,1,0.01924411021173
1.23594748973846,1,0.019332904368639
1.24165225028992,1,0.0194221083074808
1.24738347530365,1,0.0195117220282555
1.25314116477966,1,0.0196017492562532
1.25892543792725,1,0.0196921918541193
1.2647362947464,1,0.0197830498218536
1.27057409286499,1,0.0198743287473917
1.27643883228302,1,0.0199660286307335
1.28233063220978,1,0.020058149471879
1.28824949264526,1,0.0201506987214088
1.29419589042664,1,0.0202436707913876
1.30016958713531,1,0.0203370731323957
1.30617094039917,1,0.0204309057444334
1.3121999502182,1,0.0205251686275005
1.3182567358017,1,0.0206198710948229
1.32434153556824,1,0.0207150056958199
1.33045446872711,1,0.0208105817437172
1.33659553527832,1,0.0209065955132246
1.34276497364044,1,0.0210030544549227
1.34896290302277,1,0.0210999567061663
1.35518944263458,1,0.0211973059922457
1.36144471168518,1,0.021295104175806
1.36772882938385,1,0.0213933531194925
1.37404203414917,1,0.0214920565485954
1.38038420677185,1,0.0215912126004696
1.38675582408905,1,0.0216908250004053
1.39315676689148,1,0.0217908974736929
1.39958727359772,1,0.0218914318829775
1.40604758262634,1,0.0219924300909042
1.41253757476807,1,0.0220938920974731
1.41905748844147,1,0.0221958234906197
1.42560756206512,1,0.0222982242703438
1.43218791484833,1,0.0224010981619358
1.43879854679108,1,0.0225044433027506
1.44543981552124,1,0.0226082652807236
1.45211160182953,1,0.0227125659584999
1.45881426334381,1,0.0228173490613699
1.46554780006409,1,0.0229226127266884
1.47231245040894,1,0.0230283625423908
1.47910833358765,1,0.0231346003711224
1.4859356880188,1,0.0232413280755281
1.4927943944931,1,0.0233485456556082
1.49968481063843,1,0.0234562605619431
1.50660705566406,1,0.0235644690692425
1.5135612487793,1,0.0236731767654419
1.52054750919342,1,0.0237823873758316
1.52756607532501,1,0.0238920971751213
1.53461694717407,1,0.0240023154765368
1.54170048236847,1,0.0241130404174328
1.54881656169891,1,0.0242242757230997
1.55596566200256,1,0.0243360251188278
1.56314766407013,1,0.0244482886046171
1.57036280632019,1,0.0245610661804676
1.57761132717133,1,0.024674367159605
1.58489322662354,1,0.0247881896793842
1.5922087430954,1,0.0249025356024504
1.5995579957962,1,0.0250174086540937
1.60694122314453,1,0.0251328106969595
1.61435854434967,1,0.0252487454563379
1.62181007862091,1,0.025365212932229
1.62929606437683,1,0.0254822168499231
1.63681650161743,1,0.0255997609347105
1.64437174797058,1,0.0257178470492363
1.65196180343628,1,0.0258364751935005
1.65958690643311,1,0.0259556509554386
1.66724717617035,1,0.0260753761976957
1.67494285106659,1,0.0261956509202719
1.68267405033112,1,0.0263164825737476
1.69044089317322,1,0.0264378692954779
1.69824361801147,1,0.0265598148107529
1.70608234405518,1,0.0266823228448629
1.7139573097229,1,0.0268053933978081
1.72186863422394,1,0.0269290320575237
1.72981631755829,1,0.027053240686655
1.73780083656311,1,0.0271780211478472
1.7458221912384,1,0.0273033753037453
1.75388050079346,1,0.0274293087422848
1.76197600364685,1,0.0275558196008205
1.77010893821716,1,0.027682913467288
1.77827942371368,1,0.0278105940669775
1.7864875793457,1,0.027938861399889
1.7947336435318,1,0.0280677210539579
1.80301773548126,1,0.0281971730291843
1.81134009361267,1,0.0283272191882133
1.81970083713531,1,0.0284578669816256
1.82810020446777,1,0.0285891145467758
1.83653831481934,1,0.0287209693342447
1.84501540660858,1,0.028853427618742
1.8535315990448,1,0.0289864987134933
1.86208713054657,1,0.0291201807558537
1.87068212032318,1,0.0292544774711132
1.87931680679321,1,0.0293893944472074
1.88799130916595,1,0.0295249316841364
1.89670586585999,1,0.0296610929071903
1.90546071529388,1,0.0297978799790144
1.91425597667694,1,0.0299352984875441
1.92309176921844,1,0.0300733484327793
1.93196833133698,1,0.0302120354026556
1.94088590145111,1,0.0303513593971729
1.94984459877014,1,0.0304913241416216
1.95884466171265,1,0.030631935223937
1.9678863286972,1,0.0307731907814741
