s,cal_node,that_dude,this_dude,v_in,vcal,vout_p
0.200000002980232,0.000511694233864546,5.11189746856689,11.2905149459839,0,5.10669422149658,-0.0204276200383902
0.200000002980232,0.000511755584739149,5.11189746856689,11.2905149459839,0.250000029802322,5.10669422149658,-0.0204275641590357
0.200000002980232,0.000535556406248361,5.11189746856689,11.2905149459839,2.5,5.10669422149658,-0.0204079188406467
0.200000017881393,0.000536649255082011,5.11189746856689,11.2905149459839,2.5,5.10669422149658,-0.0204073376953602
0.200000017881393,0.000537394254934043,5.11189746856689,11.2905149459839,2.5,5.10669422149658,-0.0204072948545218
0.200000017881393,0.000515820574946702,5.11189746856689,11.2905149459839,2.5,5.10669422149658,-0.0204278714954853
0.200000032782555,0.000489490805193782,5.11189746856689,11.2905149459839,2.5,5.10669422149658,-0.0204506572335958
0.200000032782555,5.23217095178552E-5,5.11189746856689,11.2905149459839,2.5,5.10669326782227,-0.0208040680736303
0.200000047683716,3.13484997604974E-5,5.11189746856689,11.2905149459839,2.5,5.10669326782227,-0.0208179522305727
0.200000047683716,1.23670461107395E-5,5.11189746856689,11.2905149459839,2.5,5.10669231414795,-0.0208199676126242
0.200000047683716,1.23670461107395E-5,5.11189746856689,11.2905149459839,2.5,5.10669231414795,-0.0207895413041115
0.200000062584877,1.08722315417253E-5,5.11189746856689,11.2905149459839,2.5,5.10669183731079,-0.0207742415368557
0.200000062584877,8.93058768269839E-6,5.11189746856689,11.2905149459839,2.5,5.10669040679932,-0.0207390803843737
0.200000077486038,8.23993013909785E-6,5.11189746856689,11.2905149459839,2.5,5.10668992996216,-0.0207177195698023
0.200000077486038,7.55803512220154E-6,5.11189746856689,11.2905149459839,2.5,5.10668897628784,-0.0206876154989004
0.200000092387199,6.95804783390486E-6,5.11189746856689,11.2905149459839,2.5,5.10668754577637,-0.0206486973911524
0.200000107288361,6.39128757029539E-6,5.11189699172974,11.2905149459839,2.5,5.10668611526489,-0.0205932520329952
0.200000137090683,5.9228564168734E-6,5.11189699172974,11.2905149459839,2.5,5.10668420791626,-0.0205210298299789
0.200000166893005,5.45344846614171E-6,5.11189651489258,11.2905149459839,2.5,5.10668039321899,-0.0203943960368633
0.200000196695328,5.24731694895308E-6,5.11189651489258,11.2905149459839,2.5,5.10667753219604,-0.0202961973845959
0.200000241398811,5.05754724144936E-6,5.11189603805542,11.2905149459839,2.5,5.10667276382446,-0.0201394613832235
0.200000271201134,4.98827694173087E-6,5.11189556121826,11.2905149459839,2.5,5.10666990280151,-0.0200345050543547
0.200000301003456,4.94151390739717E-6,5.1118950843811,11.2905149459839,2.5,5.10666608810425,-0.0199107322841883
0.200000315904617,4.92848539579427E-6,5.11189460754395,11.2905149459839,2.5,5.10666418075562,-0.0198447704315186
0.20000034570694,4.91994069307111E-6,5.11189413070679,11.2905149459839,2.5,5.10666179656982,-0.0197631008923054
0.200000360608101,4.91991158924065E-6,5.11189365386963,11.2905149459839,2.5,5.10665893554687,-0.0196649357676506
0.200000390410423,4.92348817715538E-6,5.11189317703247,11.2905149459839,2.5,5.10665702819824,-0.01960657723248
0.200000405311584,4.92979415867012E-6,5.11189317703247,11.2905149459839,2.5,5.10665559768677,-0.0195511803030968
0.200000405311584,4.93587094752002E-6,5.11189270019531,11.2905149459839,2.5,5.10665416717529,-0.0195058658719063
0.200000420212746,4.94256846650387E-6,5.11189270019531,11.2905149459839,2.5,5.10665321350098,-0.0194672141224146
0.200000435113907,4.94982123200316E-6,5.11189222335815,11.2905149459839,2.5,5.1066517829895,-0.0194265376776457
0.200000450015068,4.96752954859403E-6,5.111891746521,11.2905149459839,2.5,5.10664939880371,-0.0193452760577202
0.200000509619713,5.00926034874283E-6,5.11189079284668,11.2905149459839,2.5,5.10664463043213,-0.0191832408308983
0.200000584125519,5.09726351083373E-6,5.11188888549805,11.2905149459839,2.5,5.10663652420044,-0.0189066901803017
0.200000673532486,5.22558457305422E-6,5.11188650131226,11.2905149459839,2.5,5.10662603378296,-0.0185566935688257
0.200000882148743,5.50483264305512E-6,5.11188173294067,11.2905149459839,2.5,5.106605052948,-0.0178658161312342
0.200001135468483,5.87753629588406E-6,5.11187553405762,11.2905149459839,2.5,5.10657787322998,-0.0169870164245367
0.200001522898674,6.42750592305674E-6,5.11186552047729,11.2905149459839,2.5,5.10653734207153,-0.0157066583633423
0.200002089142799,7.18351657269522E-6,5.11185121536255,11.2905149459839,2.5,5.10648012161255,-0.0139456083998084
0.200003191828728,8.58942348713754E-6,5.11182308197022,11.2905139923096,2.5,5.1063666343689,-0.0106720188632607
0.200005412101746,1.10217051769723E-5,5.11176872253418,11.2905139923096,2.5,5.10614538192749,-0.0050074141472578
0.200009867548943,1.46844213304576E-5,5.11166477203369,11.2905130386353,2.5,5.10572624206543,0.00351886730641127
0.20001445710659,1.72019190358697E-5,5.11156511306763,11.2905130386353,2.5,5.10532474517822,0.00937729515135288
0.20001970231533,1.90640876098769E-5,5.11145925521851,11.2905120849609,2.5,5.10489988327026,0.0137057416141033
0.200025483965874,2.03170438908273E-5,5.11135196685791,11.2905120849609,2.5,5.10447072982788,0.0166146997362375
0.200032308697701,2.11605783988489E-5,5.11123752593994,11.2905111312866,2.5,5.10401344299316,0.0185659751296043
0.200040936470032,2.16986281884601E-5,5.11110877990723,11.2905101776123,2.5,5.10350131988525,0.0198029950261116
0.200052112340927,2.19864450627938E-5,5.11096572875977,11.2905101776123,2.5,5.10293483734131,0.0204502139240503
0.20006762444973,2.21052905544639E-5,5.11080408096313,11.290509223938,2.5,5.10229682922363,0.0206961166113615
