Hz_real,Hz_imag,vout_real,vout_imag
1,0,-1.05793471205651E-10,3.17619236467337E-10
1.00230526924133,0,-1.06281705658517E-10,3.18350262817901E-10
1.00461578369141,0,-1.06772195251903E-10,3.19082954503003E-10
1.00693166255951,0,-1.07264953863595E-10,3.19817367033792E-10
1.00925290584564,0,-1.07759981493594E-10,3.20553444899119E-10
1.0115795135498,0,-1.08257292019687E-10,3.21291188098982E-10
1.01391136646271,0,-1.08756899319662E-10,3.22030652144534E-10
1.01624870300293,0,-1.09258810332413E-10,3.22771809280198E-10
1.01859140396118,0,-1.09763031996835E-10,3.23514659505975E-10
1.02093946933746,0,-1.10269592068502E-10,3.24259230577439E-10
1.02329301834106,0,-1.1077848360852E-10,3.25005494739017E-10
1.0256519317627,0,-1.11289720494678E-10,3.25753451990707E-10
1.02801632881165,0,-1.11803316604764E-10,3.26503157843661E-10
1.03038609027863,0,-1.12319285816564E-10,3.27254556786727E-10
1.03276145458221,0,-1.12837635068974E-10,3.28007704331057E-10
1.03514218330383,0,-1.13358378239781E-10,3.28762572721075E-10
1.03752839565277,0,-1.13881515328984E-10,3.29519161956782E-10
1.03992021083832,0,-1.1440707409216E-10,3.30277499793752E-10
1.04231739044189,0,-1.14935054529308E-10,3.3103755847641E-10
1.04472017288208,0,-1.15465477457111E-10,3.31799365760332E-10
1.04712855815887,0,-1.15998342875567E-10,3.32562921645518E-10
1.04954242706299,0,-1.1653367160136E-10,3.33328253887544E-10
1.05196189880371,0,-1.17071463634488E-10,3.34095306975257E-10
1.05438685417175,0,-1.17611739791634E-10,3.3486413641981E-10
1.05681753158569,0,-1.18154500072798E-10,3.35634714465627E-10
1.05925369262695,0,-1.18699772233555E-10,3.36407068868283E-10
1.06169557571411,0,-1.19247570151693E-10,3.37181199627778E-10
1.06414306163788,0,-1.19797879949424E-10,3.37957106744113E-10
1.06659615039825,0,-1.20350743260111E-10,3.38734790217288E-10
1.06905484199524,0,-1.20906146205968E-10,3.39514250047301E-10
1.07151925563812,0,-1.21464116542569E-10,3.40295486234154E-10
1.0739893913269,0,-1.22024654269914E-10,3.41078526533423E-10
1.07646524906158,0,-1.2258778714358E-10,3.41863370945106E-10
1.07894670963287,0,-1.23153515163565E-10,3.42649991713628E-10
1.08143389225006,0,-1.23721852207659E-10,3.43438444350142E-10
1.08392691612244,0,-1.24292812153648E-10,3.4422870109907E-10
1.08642566204071,0,-1.24866408879321E-10,3.45020734204837E-10
1.08893013000488,0,-1.25442656262464E-10,3.45814626934171E-10
1.09144032001495,0,-1.2602155430308E-10,3.4661032377592E-10
1.09395635128021,0,-1.26603130756742E-10,3.47407824730084E-10
1.09647822380066,0,-1.27187385623451E-10,3.48207185307814E-10
1.099005818367,0,-1.27774332780994E-10,3.49008349997959E-10
1.10153925418854,0,-1.28363986107161E-10,3.4981137431167E-10
1.10407865047455,0,-1.28956373357525E-10,3.50616230493372E-10
1.10662376880646,0,-1.295514806543E-10,3.51422918543065E-10
1.10917484760284,0,-1.3014933575306E-10,3.52231466216324E-10
1.11173176765442,0,-1.30749952531595E-10,3.53041873513149E-10
1.11429452896118,0,-1.31353344867691E-10,3.5385414043354E-10
1.11686325073242,0,-1.31959512761348E-10,3.54668239221922E-10
1.11943793296814,0,-1.32568483968143E-10,3.55484225389446E-10
1.12201845645905,0,-1.33180258488075E-10,3.56302098936112E-10
1.12460494041443,0,-1.33794864076719E-10,3.57121832106344E-10
1.12719750404358,0,-1.34412300734077E-10,3.57943424900142E-10
1.12979590892792,0,-1.35032582337935E-10,3.58766905073082E-10
1.13240039348602,0,-1.35655736643869E-10,3.5959230038074E-10
1.13501083850861,0,-1.36281749774092E-10,3.60419555311964E-10
1.13762724399567,0,-1.36910663361967E-10,3.61248725377905E-10
1.14024972915649,0,-1.37542477407493E-10,3.62079782822988E-10
1.14287829399109,0,-1.38177205788459E-10,3.62912755402789E-10
1.14551293849945,0,-1.38814862382652E-10,3.63747643117307E-10
1.14815366268158,0,-1.39455461067861E-10,3.64584418210967E-10
1.15080034732819,0,-1.40099001844085E-10,3.6542313619492E-10
1.15345323085785,0,-1.40745526344688E-10,3.66263741558015E-10
1.15611219406128,0,-1.41395034569669E-10,3.67106317566979E-10
1.15877735614777,0,-1.42047540396817E-10,3.67950780955084E-10
1.16144859790802,0,-1.42703043826131E-10,3.68797214989058E-10
1.16412603855133,0,-1.43361586490975E-10,3.6964556415775E-10
1.16680955886841,0,-1.44023154513562E-10,3.70495856216735E-10
1.16949939727783,0,-1.44687789527254E-10,3.71348118921588E-10
1.17219531536102,0,-1.45355477654263E-10,3.72202296761159E-10
1.17489755153656,0,-1.46026260527954E-10,3.73058445246599E-10
1.17760598659515,0,-1.46700124270538E-10,3.73916564377907E-10
1.1803206205368,0,-1.47377096637591E-10,3.74776654155085E-10
1.1830415725708,0,-1.48057205384688E-10,3.7563871457813E-10
1.18576872348785,0,-1.48740436634043E-10,3.76502717891469E-10
1.18850219249725,0,-1.49426832019017E-10,3.77368719606253E-10
1.191241979599,0,-1.50116391539612E-10,3.7823671972248E-10
1.19398808479309,0,-1.50809129073615E-10,3.79106690484576E-10
1.19674050807953,0,-1.51505058498813E-10,3.79978659648117E-10
1.19949924945831,0,-1.52204207570783E-10,3.80852599457526E-10
1.20226442813873,0,-1.52906576289524E-10,3.81728565423956E-10
1.2050359249115,0,-1.53612192410613E-10,3.82606529791829E-10
1.2078138589859,0,-1.54321055934048E-10,3.83486520316723E-10
1.21059811115265,0,-1.55033194615406E-10,3.8436850924306E-10
1.21338880062103,0,-1.55748622332474E-10,3.85252524326418E-10
1.21618604660034,0,-1.56467339085253E-10,3.86138565566796E-10
1.218989610672,0,-1.57189386507106E-10,3.87026632964194E-10
1.22179961204529,0,-1.57914750720245E-10,3.87916726518611E-10
1.2246161699295,0,-1.58643473358033E-10,3.88808846230049E-10
1.22743928432465,0,-1.59375540542683E-10,3.89703019854082E-10
1.23026871681213,0,-1.60111007785346E-10,3.90599247390711E-10
1.23310482501984,0,-1.60849847330446E-10,3.91497528839935E-10
1.23594748973846,0,-1.61592100811347E-10,3.92397836446179E-10
1.23879659175873,0,-1.62337795983625E-10,3.93300225720594E-10
1.24165225028992,0,-1.63086905091703E-10,3.94204696663181E-10
1.24451458454132,0,-1.63839483646733E-10,3.95111221518363E-10
1.24738347530365,0,-1.64595545526502E-10,3.96019828041716E-10
1.25025904178619,0,-1.65355076853224E-10,3.96930488477665E-10
1.25314116477966,0,-1.66118119260261E-10,3.9784325833736E-10
1.25602996349335,0,-1.66884686625401E-10,3.98758109865227E-10
1.25892543792725,0,-1.67654778948645E-10,3.99675043061265E-10
1.26182758808136,0,-1.68428423985567E-10,4.0059408568105E-10
1.2647362947464,0,-1.69205649491744E-10,4.01515237724581E-10
1.26765191555023,0,-1.69986455467175E-10,4.02438471436284E-10
1.27057409286499,0,-1.70770869667436E-10,4.03363842327309E-10
1.27350306510925,0,-1.71558892092527E-10,4.04291322642081E-10
1.27643883228302,0,-1.72350550498024E-10,4.05220940136175E-10
1.279381275177,0,-1.73145872639502E-10,4.06152667054016E-10
1.28233063220978,0,-1.73944844639173E-10,4.07086503395604E-10
1.28528666496277,0,-1.7474752200819E-10,4.0802250467209E-10
1.28824949264526,0,-1.75553890868763E-10,4.08960643127898E-10
1.29121923446655,0,-1.76363978976468E-10,4.09900918763029E-10
1.29419589042664,0,-1.77177814086882E-10,4.10843359333057E-10
1.29717922210693,0,-1.77995396200004E-10,4.11787937082408E-10
1.30016958713531,0,-1.78816753071409E-10,4.12734707522233E-10
1.3031667470932,0,-1.79641884701098E-10,4.1368361514138E-10
1.30617094039917,0,-1.80470846600222E-10,4.14634687695425E-10
1.30918192863464,0,-1.81303611013206E-10,4.15587952939944E-10
1.3121999502182,0,-1.821402334512E-10,4.16543383119361E-10
1.31522488594055,0,-1.82980713914205E-10,4.17501005989251E-10
1.3182567358017,0,-1.83825066280008E-10,4.18460821549615E-10
1.32129561901093,0,-1.84673304426397E-10,4.19422829800453E-10
1.32434153556824,0,-1.85525469986736E-10,4.20387030741765E-10
1.32739448547363,0,-1.86381562961024E-10,4.2135342437355E-10
1.33045446872711,0,-1.8724159722705E-10,4.22322066206959E-10
1.33352148532867,0,-1.88105614418177E-10,4.23292900730843E-10
1.33659553527832,0,-1.88973600656617E-10,4.242659279452E-10
1.33967673778534,0,-1.89845597575733E-10,4.25241203361182E-10
1.34276497364044,0,-1.90721619053313E-10,4.26218726978789E-10
1.34586036205292,0,-1.91601678967146E-10,4.27198443286869E-10
1.34896290302277,0,-1.92485805072806E-10,4.2818043555215E-10
1.35207259654999,0,-1.93373997370294E-10,4.2916464826348E-10
1.35518944263458,0,-1.94266297492973E-10,4.30151136932011E-10
1.35831344127655,0,-1.95162719318631E-10,4.31139846046591E-10
1.36144471168518,0,-1.96063262847268E-10,4.32130831118371E-10
1.36458313465118,0,-1.96967969712247E-10,4.33124092147352E-10
1.36772882938385,0,-1.97876839913569E-10,4.34119601377958E-10
1.37088179588318,0,-1.98789901206808E-10,4.35117386565764E-10
1.37404203414917,0,-1.99707181347542E-10,4.36117475466347E-10
1.37720942497253,0,-2.00628694213556E-10,4.37119840324129E-10
1.38038420677185,0,-2.0155445368264E-10,4.38124481139113E-10
1.38356637954712,0,-2.02484487510368E-10,4.39131425666872E-10
1.38675582408905,0,-2.03418809574529E-10,4.40140673907408E-10
1.38995265960693,0,-2.04357447630699E-10,4.41152198105144E-10
1.39315676689148,0,-2.05300401678876E-10,4.42166053771231E-10
1.39636838436127,0,-2.06247713352425E-10,4.43182240905671E-10
1.39958727359772,0,-2.07199396529134E-10,4.44200731752886E-10
1.40281367301941,0,-2.0815546508679E-10,4.45221554068453E-10
1.40604758262634,0,-2.09115946780969E-10,4.46244707852372E-10
1.40928876399994,0,-2.10080869367246E-10,4.47270193104643E-10
1.41253757476807,0,-2.11050218967834E-10,4.48298037580841E-10
1.41579377651215,0,-2.12024064971672E-10,4.49328213525391E-10
1.41905748844147,0,-2.13002379623184E-10,4.50360748693868E-10
1.42232882976532,0,-2.13985218433521E-10,4.51395615330696E-10
1.42560756206512,0,-2.14972595280472E-10,4.52432868947028E-10
1.42889392375946,0,-2.15964524041823E-10,4.53472481787287E-10
1.43218791484833,0,-2.16961018595363E-10,4.54514481607049E-10
1.43548941612244,0,-2.17962120574455E-10,4.55558840650738E-10
1.43879854679108,0,-2.189678299791E-10,4.56605614429506E-10
1.44211530685425,0,-2.1997818844266E-10,4.57654747432201E-10
1.44543981552124,0,-2.20993209842923E-10,4.58706295169975E-10
1.44877183437347,0,-2.2201289417989E-10,4.59760229887252E-10
1.45211160182953,0,-2.23037296964712E-10,4.60816579339607E-10
1.4554591178894,0,-2.24066418197388E-10,4.61875315771465E-10
1.45881426334381,0,-2.25100299511283E-10,4.62936494693977E-10
1.46217715740204,0,-2.26138940906395E-10,4.64000088351568E-10
1.46554780006409,0,-2.27182370138301E-10,4.65066096744238E-10
1.46892631053925,0,-2.28230614962577E-10,4.66134575383137E-10
1.47231245040894,0,-2.29283689257009E-10,4.67205441001539E-10
1.47570657730103,0,-2.30341620777175E-10,4.68278804621747E-10
1.47910833358765,0,-2.31404437278648E-10,4.69354555221457E-10
1.48251807689667,0,-2.32472152639218E-10,4.70432803822973E-10
