Hz,vout_p
1,0.289909809827805
1.02329301834106,0.30351933836937
1.04712855815887,0.317765116691589
1.07151925563812,0.33267667889595
1.09647822380066,0.348284810781479
1.12201845645905,0.364621758460999
1.14815366268158,0.38172122836113
1.17489755153656,0.399618446826935
1.20226442813873,0.418350219726562
1.23026871681213,0.43795508146286
1.25892543792725,0.458473205566406
1.28824949264526,0.479946553707123
1.3182567358017,0.502419114112854
1.34896290302277,0.525936782360077
1.38038420677185,0.550547361373901
1.41253757476807,0.576300978660583
1.44543981552124,0.603249847888947
1.47910833358765,0.63144850730896
1.5135612487793,0.660953998565674
1.54881656169891,0.691825807094574
1.58489322662354,0.724125981330872
1.62181007862091,0.757919311523437
1.65958690643311,0.793273389339447
1.69824361801147,0.830258786678314
1.73780083656311,0.868949055671692
1.77827942371368,0.909420907497406
1.81970083713531,0.95175439119339
1.86208713054657,0.996032834053039
1.90546071529388,1.04234313964844
1.94984459877014,1.09077608585358
1.99526226520538,1.1414258480072
2.04173803329468,1.19439077377319
2.0892961025238,1.24977314472198
2.13796210289001,1.30767953395844
2.18776154518127,1.36822080612183
2.23872113227844,1.43151235580444
2.29086756706238,1.49767398834229
2.34422874450684,1.5668306350708
2.39883303642273,1.63911175727844
2.45470881462097,1.71465194225311
2.51188635826111,1.79359138011932
2.57039570808411,1.87607502937317
2.63026809692383,1.96225380897522
2.69153475761414,2.0522837638855
2.75422859191895,2.14632701873779
2.81838297843933,2.24455142021179
2.88403153419495,2.34713125228882
2.95120930671692,2.45424628257751
3.01995182037354,2.56608271598816
3.09029531478882,2.68283343315125
3.16227769851685,2.80469751358032
3.23593664169312,2.93187975883484
3.3113112449646,3.06459307670593
3.38844156265259,3.20305585861206
3.46736860275269,3.34749317169189
3.54813385009766,3.49813747406006
3.63078045845032,3.65522694587708
3.71535229682922,3.81900691986084
3.80189394950867,3.98972940444946
3.89045143127441,4.16765213012695
3.98107171058655,4.35303974151611
4.07380294799805,4.54616355895996
4.16869401931763,4.74729919433594
4.26579523086548,4.95672941207886
4.36515855789185,5.17474269866943
4.46683597564697,5.40163087844849
4.57088184356689,5.63769197463989
4.67735147476196,5.88322925567627
4.78630113601685,6.13854742050171
4.89778804779053,6.40395593643188
5.01187229156494,6.6797661781311
5.12861394882202,6.96629285812378
5.24807453155518,7.26385021209717
5.3703179359436,7.57275485992432
5.49540853500366,7.89332103729248
5.6234130859375,8.22586345672607
5.75439929962158,8.57069206237793
