Hz,v_input,v_no_filter,vout
1,1,6.49487556074746E-5,1.04961774948648E-12
1.00461578369141,1,6.55491458019242E-5,1.05981196041327E-12
1.00925290584564,1,6.6155094827991E-5,1.07010906212623E-12
1.01391136646271,1,6.67666390654631E-5,1.08051057250841E-12
1.01859140396118,1,6.73838294460438E-5,1.0910171420811E-12
1.02329301834106,1,6.80067169014365E-5,1.10163028872734E-12
1.02801632881165,1,6.86353596393019E-5,1.11235098822909E-12
1.03276145458221,1,6.92698085913435E-5,1.12318043320875E-12
1.03752839565277,1,6.99101074133068E-5,1.13411992470891E-12
1.04231739044189,1,7.05563288647682E-5,1.14517033009132E-12
1.04712855815887,1,7.12085166014731E-5,1.15633316723901E-12
1.05196189880371,1,7.1866721555125E-5,1.16760952035416E-12
1.05681753158569,1,7.25310092093423E-5,1.17900058205916E-12
1.06169557571411,1,7.32014304958284E-5,1.19050765339662E-12
1.06659615039825,1,7.38780363462865E-5,1.20213203540914E-12
1.07151925563812,1,7.45608922443353E-5,1.21387502913933E-12
1.07646524906158,1,7.52500563976355E-5,1.22573782720958E-12
1.08143389225006,1,7.59455797378905E-5,1.2377217306625E-12
1.08642566204071,1,7.66475277487189E-5,1.24982825738112E-12
1.09144032001495,1,7.73559513618238E-5,1.26205849156763E-12
1.09647822380066,1,7.80709233367816E-5,1.27441395110506E-12
1.10153925418854,1,7.87924873293377E-5,1.28689593703601E-12
1.10662376880646,1,7.95207160990685E-5,1.29950585882332E-12
1.11173176765442,1,8.02556751295924E-5,1.31224512592981E-12
1.11686325073242,1,8.09974080766551E-5,1.3251151478183E-12
1.12201845645905,1,8.17459949757904E-5,1.33811744237183E-12
1.12719750404358,1,8.25014867587015E-5,1.35125331063302E-12
1.13240039348602,1,8.32639561849646E-5,1.36452437890511E-12
1.13762724399567,1,8.40334614622407E-5,1.37793205665093E-12
1.14287829399109,1,8.48100753501058E-5,1.39147786175353E-12
1.14815366268158,1,8.55938487802632E-5,1.40516331209595E-12
1.15345323085785,1,8.63848617882468E-5,1.41898992556122E-12
1.15877735614777,1,8.7183179857675E-5,1.43295943687283E-12
1.16412603855133,1,8.79888611962087E-5,1.44707325549359E-12
1.16949939727783,1,8.88019785634242E-5,1.46133300772677E-12
1.17489755153656,1,8.96225974429399E-5,1.47574031987563E-12
1.1803206205368,1,9.04507978702895E-5,1.49029692666364E-12
1.18576872348785,1,9.12866380531341E-5,1.50500445439405E-12
1.191241979599,1,9.21301907510497E-5,1.51986442094992E-12
1.19674050807953,1,9.29815287236124E-5,1.53487866947494E-12
1.20226442813873,1,9.38407247303985E-5,1.55004904311279E-12
1.2078138589859,1,9.47078442550264E-5,1.56537705974652E-12
1.21338880062103,1,9.55829746089876E-5,1.58086467094004E-12
1.218989610672,1,9.64661667239852E-5,1.59651350299661E-12
1.2246161699295,1,9.73575151874684E-5,1.61232550748014E-12
1.23026871681213,1,9.82570927590132E-5,1.6283024191141E-12
1.23594748973846,1,9.91649721981958E-5,1.64444608104219E-12
1.24165225028992,1,0.000100081218988635,1.66075844482833E-12
1.24738347530365,1,0.000101005927717779,1.67724146203641E-12
1.25314116477966,1,0.000101939163869247,1.69389686738991E-12
1.25892543792725,1,0.000102881007478572,1.71072672087297E-12
1.2647362947464,1,0.000103831538581289,1.72773297404949E-12
1.27057409286499,1,0.000104790837212931,1.7449176869036E-12
1.27643883228302,1,0.000105758997960947,1.76228281099922E-12
1.28233063220978,1,0.000106736079032999,1.77983029790024E-12
1.28824949264526,1,0.000107722175016534,1.79756264127168E-12
1.29419589042664,1,0.000108717373223044,1.81548135899656E-12
1.30016958713531,1,0.000109721739136148,1.83358883631968E-12
1.30617094039917,1,0.000110735381895211,1.85188735006558E-12
1.3121999502182,1,0.00011175836698385,1.87037885179819E-12
1.3182567358017,1,0.000112790788989514,1.88906572676228E-12
1.32434153556824,1,0.000113832735223696,1.9079501433622E-12
1.33045446872711,1,0.000114884285721928,1.92703427000229E-12
1.33659553527832,1,0.000115945542347617,1.94632049192733E-12
1.34276497364044,1,0.00011701657786034,1.96581119438211E-12
1.34896290302277,1,0.000118097494123504,1.98550854577095E-12
1.35518944263458,1,0.000119188378448598,2.00541493133866E-12
1.36144471168518,1,0.000120289318147115,2.02553273632999E-12
1.36772882938385,1,0.000121400415082462,2.04586477967061E-12
1.37404203414917,1,0.00012252175656613,2.06641301292443E-12
1.38038420677185,1,0.000123653429909609,2.08718025501708E-12
1.38675582408905,1,0.000124795536976308,2.10816889119336E-12
1.39315676689148,1,0.000125948194181547,2.12938152353848E-12
1.39958727359772,1,0.000127111459732987,2.15082075413764E-12
1.40604758262634,1,0.000128285450045951,2.17248918507606E-12
1.41253757476807,1,0.000129470252431929,2.19438941843897E-12
1.41905748844147,1,0.000130665997858159,2.21652405631156E-12
1.42560756206512,1,0.000131872773636132,2.23889613445993E-12
1.43218791484833,1,0.000133090652525425,2.26150825496929E-12
1.43879854679108,1,0.000134319765493274,2.28436301992485E-12
1.44543981552124,1,0.00013556019985117,2.30746368193313E-12
1.45211160182953,1,0.000136812086566351,2.33081284307934E-12
1.45881426334381,1,0.000138075483846478,2.35441332228914E-12
1.46554780006409,1,0.000139350551762618,2.3782681553286E-12
1.47231245040894,1,0.000140637348522432,2.40238037796381E-12
1.47910833358765,1,0.000141936005093157,2.42675280912041E-12
1.4859356880188,1,0.000143246652442031,2.45138891824537E-12
1.4927943944931,1,0.000144569363328628,2.47629130742388E-12
1.49968481063843,1,0.000145904254168272,2.50146322926248E-12
1.50660705566406,1,0.000147251455928199,2.52690793636767E-12
1.5135612487793,1,0.000148611070471816,2.55262889818642E-12
1.52054750919342,1,0.000149983199662529,2.57862915048479E-12
1.52756607532501,1,0.000151367974467576,2.60491194586931E-12
1.53461694717407,1,0.000152765511302277,2.63148053694651E-12
1.54170048236847,1,0.000154175926581956,2.65833839316332E-12
1.54881656169891,1,0.000155599336721934,2.68548876712626E-12
1.55596566200256,1,0.000157035843585618,2.71293556196317E-12
1.56314766407013,1,0.000158485607244074,2.74068181344012E-12
1.57036280632019,1,0.00015994870045688,2.76873164152536E-12
1.57761132717133,1,0.000161425283295102,2.79708808198498E-12
1.58489322662354,1,0.000162915457622148,2.8257550379468E-12
1.5922087430954,1,0.000164419354405254,2.8547361956982E-12
1.5995579957962,1,0.000165937119163573,2.88403545836702E-12
1.60694122314453,1,0.000167468839208595,2.91365607855976E-12
1.61435854434967,1,0.00016901467461139,2.94360260992554E-12
1.62181007862091,1,0.000170574741787277,2.97387852191133E-12
1.62929606437683,1,0.000172149171703495,3.00448771764494E-12
1.63681650161743,1,0.00017373809532728,3.03543431709463E-12
1.64437174797058,1,0.000175341658177786,3.06672244022865E-12
1.65196180343628,1,0.000176959976670332,3.09835620701526E-12
1.65958690643311,1,0.000178593196324073,3.13033973742272E-12
1.66724717617035,1,0.000180241462658159,3.16267715141927E-12
1.67494285106659,1,0.000181904877535999,3.19537256897318E-12
1.68267405033112,1,0.000183583615580574,3.22843054373356E-12
1.69044089317322,1,0.000185277807759121,3.26185541250912E-12
1.69824361801147,1,0.000186987585038878,3.29565172894897E-12
1.70608234405518,1,0.000188713092938997,3.32982361302137E-12
1.7139573097229,1,0.000190454491530545,3.36437605205631E-12
1.72186863422394,1,0.000192211926332675,3.39931316602204E-12
1.72981631755829,1,0.000193985513760708,3.43464015908901E-12
1.73780083656311,1,0.000195775428437628,3.47036136806589E-12
1.7458221912384,1,0.000197581815882586,3.50648178028268E-12
1.75388050079346,1,0.000199404821614735,3.54300616622893E-12
1.76197600364685,1,0.000201244591153227,3.57993929639422E-12
1.77010893821716,1,0.000203101299121045,3.61728659178939E-12
1.77827942371368,1,0.00020497506193351,3.65505282290401E-12
1.7864875793457,1,0.000206866097869352,3.69324319390851E-12
1.7947336435318,1,0.00020877449424006,3.73186247529245E-12
1.80301773548126,1,0.000210700469324365,3.77091630490711E-12
1.81134009361267,1,0.000212644139537588,3.81040988692294E-12
1.81970083713531,1,0.000214605694054626,3.85034885919122E-12
1.82810020446777,1,0.000216585278394632,3.89073885956326E-12
1.83653831481934,1,0.000218583067180589,3.93158465852861E-12
1.84501540660858,1,0.000220599249587394,3.97289232761944E-12
1.8535315990448,1,0.00022263394203037,4.01466707100617E-12
1.86208713054657,1,0.00022468734823633,4.05691539390185E-12
1.87068212032318,1,0.000226759628276341,4.09964293415777E-12
1.87931680679321,1,0.000228850971325301,4.14285576330609E-12
1.88799130916595,1,0.000230961522902362,4.18655865183637E-12
1.89670586585999,1,0.000233091486734338,4.23075940600426E-12
1.90546071529388,1,0.000235241022892296,4.27546322998018E-12
1.91425597667694,1,0.000237410320551135,4.32067662897717E-12
1.92309176921844,1,0.000239599539781921,4.36640524084653E-12
1.93196833133698,1,0.000241808898863383,4.41265643816302E-12
1.94088590145111,1,0.000244038528762758,4.45943585877795E-12
1.94984459877014,1,0.00024628866231069,4.50675087526609E-12
1.95884466171265,1,0.000248559488682076,4.55460799284046E-12
1.9678863286972,1,0.00025085115339607,4.60301284935238E-12
1.97696959972382,1,0.000253163860179484,4.65197411841922E-12
1.98609495162964,1,0.000255497841862962,4.70149700421141E-12
1.99526226520538,1,0.000257853243965656,4.75158931298458E-12
2.00447201728821,1,0.000260230299318209,4.80225841731352E-12
2.0137243270874,1,0.000262629153439775,4.85351168977299E-12
2.02301907539368,1,0.000265050039160997,4.90535563557604E-12
2.03235697746277,1,0.000267493189312518,4.95779762729742E-12
2.04173803329468,1,0.00026995874941349,5.01084590487366E-12
2.0511622428894,1,0.000272446952294558,5.06450784087953E-12
2.06062984466553,1,0.000274958001682535,5.11879080788979E-12
2.07014131546021,1,0.000277492101304233,5.1737026121601E-12
2.07969665527344,1,0.000280049454886466,5.22925149362696E-12
2.0892961025238,1,0.000282630295259878,5.28544569222689E-12
2.09893989562988,1,0.000285234797047451,5.34229258053465E-12
2.10862803459167,1,0.00028786322218366,5.39980083216762E-12
2.11836123466492,1,0.000290515774395317,5.45797912074319E-12
2.12813901901245,1,0.000293192657409236,5.51683568619787E-12
2.13796210289001,1,0.00029589410405606,5.57637876846817E-12
2.14783048629761,1,0.000298620318062603,5.63661747485233E-12
